週,チャネル,セッション数,CV数,CVR(%),売上(万円),CPA(円),ROI(%)
2026/4/1,検索広告,12450,187,1.50,374,5349,112
2026/4/1,ディスプレイ,8320,64,0.77,128,7813,68
2026/4/1,SNS,6780,92,1.36,184,4348,143
2026/4/1,メール,3210,88,2.74,176,2273,285
2026/4/1,オーガニック,9870,156,1.58,312,0,∞
2026/4/8,検索広告,13120,201,1.53,402,4975,127
2026/4/8,ディスプレイ,7980,71,0.89,142,7042,78
2026/4/8,SNS,7450,108,1.45,216,3704,168
2026/4/8,メール,2980,79,2.65,158,2532,253
2026/4/8,オーガニック,10230,172,1.68,344,0,∞
2026/4/15,検索広告,14320,225,1.57,450,4444,141
2026/4/15,ディスプレイ,8640,82,0.95,164,6098,90
2026/4/15,SNS,8120,125,1.54,250,3200,193
2026/4/15,メール,3450,101,2.93,202,1980,321
2026/4/15,オーガニック,11080,189,1.71,378,0,∞
2026/4/22,検索広告,15210,248,1.63,496,4032,157
2026/4/22,ディスプレイ,9120,89,0.98,178,5618,98
2026/4/22,SNS,8890,139,1.56,278,2878,215
2026/4/22,メール,3720,112,3.01,224,1786,360
2026/4/22,オーガニック,11940,204,1.71,408,0,∞
